Node,Cost
174801,20
118082,20
111440,19
79653,22
187355,19
199229,24
174373,22
204231,24
174647,21
6757,12
93274,17
231159,24
53625,18
22589,16
58580,14
36030,17
186198,22
156748,22
223361,24
61465,14
225185,26
241312,26
85505,20
17587,14
31511,19
230088,24
47523,16
96321,22
216023,24
223150,25
136635,22
166704,21
242615,25
132659,18
124632,19
22100,16
193534,24
179865,22
115581,18
213269,24
247982,24
61428,18
116524,21
32938,15
10712,18
66254,23
162816,23
245085,26
17715,14
164769,22
170747,23
248687,27
27966,14
172277,22
7805,14
37701,13
45879,14
188201,23
161714,23
247711,26
247902,27
157032,24
175680,25
106985,21
119534,20
109227,20
114946,19
122346,20
106627,16
114644,20
181398,24
200807,23
249864,27
123684,22
21863,13
147886,23
225847,24
157388,17
191679,28
210512,23
29995,16
20452,16
168462,17
91587,19
1534,13
46307,12
105568,16
20911,12
68917,21
163828,21
253852,27
211655,25
173742,22
140155,24
124849,22
233820,25
10310,14
233480,25
165189,24
1014,9
46881,14
71687,20
8650,12
135050,19
198230,24
243042,27
43356,13
168489,20
53567,19
159278,21
85133,21
150450,21
62413,14
161321,21
198773,21
204451,22
58950,23
181209,22
261007,46
45267,16
129099,22
50110,19
154749,22
54757,13
254740,31
158221,20
107042,18
241479,31
14345,10
33590,13
241593,27
60388,18
64580,16
158182,20
112566,19
76545,19
175861,21
73927,17
56173,16
200547,22
209474,27
250231,27
258327,33
80042,17
16659,15
227116,26
203220,25
25671,16
170869,18
153478,22
209443,23
100666,21
66116,19
12809,12
200023,21
25756,13
224754,20
20922,16
24248,16
141327,23
213681,23
177872,20
152047,22
164205,20
165781,24
41598,17
126771,20
63851,19
17407,12
136340,19
193958,17
196516,23
23833,14
220404,23
89287,19
5141,12
191500,26
119300,17
84714,21
140288,18
17268,16
62463,18
213330,21
175689,24
168833,22
218940,23
166548,21
30932,15
185846,23
94884,21
162810,21
35459,17
47750,18
496,8
189725,25
25317,15
70992,21
4972,13
112717,22
127344,20
51898,21
168248,23
254106,30
114957,20
71406,18
145348,23
144703,20
124287,19
134892,21
212633,23
41090,16
37428,12
232895,25
27196,19
237395,27
126165,23
2449,9
228666,25
164283,24
131161,20
106740,17
72951,16
11534,12
63299,19
194885,22
158099,22
215694,23
255212,25
194365,21
99556,19
44124,14
149240,22
115269,21
250703,28
136304,20
45341,16
9988,11
117720,19
148571,21
198028,20
210323,23
247639,28
122934,20
110866,23
197302,22
150026,22
120516,18
239036,25
14891,15
58588,16
144747,18
121051,23
116819,20
163687,23
253798,30
259961,32
144583,22
94103,16
23747,17
66635,20
203337,23
137909,22
235380,28
158395,22
111662,17
76790,17
46253,19
140802,22
243007,27
68812,19
111018,19
185505,20
128099,20
15185,14
40607,16
152300,21
58445,14
4342,14
211684,27
223968,25
226830,24
39246,22
96308,18
214565,26
30000,12
97438,19
200384,21
170529,23
62380,17
232711,27
160010,20
124093,17
189080,24
233622,22
127724,20
43576,19
9563,12
141674,22
155180,20
259568,29
221791,23
49629,15
191705,17
136851,18
239824,21
94271,21
225065,22
201683,23
10416,10
106832,19
155217,23
187051,23
8532,13
23199,16
28108,17
257433,29
18078,14
240467,28
76314,19
216373,24
50428,16
206460,27
168650,24
10420,12
231128,25
185705,23
83356,19
145239,18
144509,22
257587,32
20055,15
223407,19
82686,22
256544,25
14800,18
167188,22
79565,18
178236,22
57806,17
214622,25
111050,20
193713,26
217638,22
245292,27
200758,26
128568,18
7008,15
165517,22
206997,26
15487,14
3787,10
204461,21
231733,27
99140,22
153458,22
104192,21
36342,18
10498,13
54205,18
203285,25
19593,16
110540,17
229402,24
256884,29
155529,21
203593,21
167827,23
35858,14
68353,15
56430,16
134399,20
20479,19
167577,24
155852,22
138842,22
65067,14
181109,26
123253,20
102002,22
97253,21
39812,17
60574,16
173350,19
114142,24
124521,14
192652,25
44314,18
233410,22
19561,16
195664,23
166820,21
238807,25
197412,26
50542,15
231049,26
210288,22
28745,14
123906,22
28721,16
230522,24
142622,20
219021,26
238055,26
204905,20
256123,30
149260,20
227050,29
14209,12
132209,21
66589,23
212001,26
138006,21
218069,24
206944,17
201255,27
215885,23
28730,17
13333,10
119832,20
237982,25
251479,26
198689,18
185280,21
138674,22
231009,24
195009,26
20027,12
27677,14
79434,19
185431,24
203123,26
250558,28
29813,19
34819,21
249547,23
75040,19
7666,13
94812,18
24841,11
146341,21
182298,21
118788,18
257355,32
250134,24
2007,6
124780,19
92904,21
245757,29
111673,18
99942,25
201437,27
124297,20
125338,20
88235,16
73281,22
214660,25
218306,26
166672,19
119548,18
65315,18
117524,19
71879,19
58671,14
92036,21
38963,15
172310,15
173312,22
180339,22
188874,25
148231,17
99727,19
65176,18
103372,20
156700,21
210729,25
73360,19
237414,20
144599,20
111530,21
78113,19
175244,21
168424,20
155131,21
149410,18
133364,20
147801,21
64870,17
82625,18
23496,12
97114,19
47972,17
114520,20
114453,18
73475,20
208358,20
80786,21
146570,21
167104,21
54257,14
116654,18
196716,26
216039,28
41452,19
192691,24
225703,28
102988,22
220024,27
154286,21
77202,24
42085,15
158476,21
252297,27
132829,20
219808,22
142403,25
57688,17
246938,29
93061,17
36558,16
224253,23
232588,24
247924,29
236604,23
66134,20
26536,14
238124,24
196425,27
215761,22
192711,21
254855,31
194289,24
104130,20
236860,25
121047,23
59225,14
43557,16
103768,21
99548,15
6394,12
124827,20
206392,23
19580,15
159342,21
242300,25
104994,20
71112,18
244761,29
125996,18
160640,26
205541,24
28500,11
57402,16
185976,24
43748,17
120090,20
195587,19
169028,23
63134,17
114503,16
253491,32
235638,29
130652,20
249086,29
86747,18
101744,23
2412,12
117554,20
166163,26
172746,26
34958,18
132962,23
81828,18
182501,20
246981,26
13949,13
131303,21
147038,24
16444,19
98096,20
239041,25
33624,13
227180,28
256229,28
72907,13
12796,18
73431,15
97643,21
49343,21
97571,18
146628,21
14208,15
102450,18
162578,21
238071,26
56960,16
135922,20
6914,14
258500,31
229949,24
181014,24
158552,24
157497,19
139954,21
261421,48
149436,22
199192,25
133100,24
36427,15
178334,17
255970,33
68163,17
258716,30
23679,17
87806,18
86965,19
118946,22
254826,27
11578,14
115103,20
231333,26
71474,17
31330,18
250490,23
200559,24
47526,17
211967,29
135394,21
98804,17
149843,22
246383,28
163220,24
72457,19
246709,24
239229,30
66407,18
256467,32
105461,21
25631,14
151972,17
204057,24
55353,18
258315,33
104348,21
201493,22
151344,21
44620,18
74115,17
188160,25
59191,20
134075,20
5891,10
183547,20
151934,25
74954,19
58065,20
4641,11
110027,22
148985,23
98564,23
75978,20
207596,22
241539,25
182805,19
14665,14
58454,19
65463,16
218780,22
214961,22
10329,18
223851,23
159300,23
15175,16
166751,20
60567,21
137396,19
185107,21
15019,13
37430,15
59324,18
257475,32
194740,24
208060,26
98614,20
14563,16
88117,19
35100,20
185251,21
201630,21
184105,24
251945,28
92895,21
181866,19
173989,23
238421,23
61413,18
206725,24
35216,18
246054,26
254760,30
754,8
205029,24
190271,20
94150,21
193452,25
142365,20
108616,19
119114,20
66527,18
63727,16
55450,16
129563,21
3752,15
80964,18
171002,22
235058,25
19551,17
226892,25
234744,27
182695,26
163141,25
135949,21
25323,16
68530,20
1677,11
173344,25
184038,21
199895,22
160693,24
241963,28
214099,26
105569,16
134101,18
172879,19
81266,20
190417,23
38377,17
225814,24
199131,23
162264,18
68905,18
100606,20
210279,22
238559,27
241654,27
225248,27
158536,24
138976,21
99314,21
206269,24
106972,19
17835,17
194161,20
135732,18
164558,22
100914,22
68480,20
166270,20
43647,21
105209,22
143144,20
160014,21
254130,28
80624,17
22724,19
88408,19
150857,19
208330,23
205952,22
83047,20
158766,23
185273,22
252994,31
254977,31
142100,21
85737,20
201380,21
67367,21
234799,24
93946,20
67013,18
177080,21
226336,25
34381,15
47131,13
138485,19
120730,19
200233,19
24537,15
223256,25
221805,25
112978,21
200663,21
33709,14
256910,33
261279,41
17620,17
40922,19
168536,18
89879,20
176917,20
4625,9
78150,19
163001,22
106170,20
242420,25
232106,23
35608,11
27478,15
100098,19
67724,19
72096,19
161902,19
210555,22
226746,23
222030,24
147317,23
76795,17
166289,21
58276,18
126694,19
192085,23
79408,17
94497,18
51557,17
252793,26
161160,22
135684,26
153767,20
12695,16
214216,21
237850,25
247315,27
211760,26
21616,18
4514,12
240226,27
169863,19
177771,17
208990,23
61404,17
30944,15
46273,18
37889,13
16315,17
191047,22
56139,17
156844,21
177914,23
1064,11
220238,23
149592,24
256301,25
196246,23
241022,29
144033,19
95728,21
23794,13
112594,22
116813,19
112586,23
65484,16
243978,22
236457,24
96916,21
64525,18
188094,23
78410,16
3768,12
127878,21
11720,14
147446,22
216824,23
206971,24
226887,24
141875,15
177563,20
69271,19
31936,20
58229,21
237046,29
24021,17
241758,27
179247,20
231429,26
124132,21
97183,18
87246,21
141714,23
203297,18
147308,22
154951,18
153177,21
144551,24
246470,24
215830,27
62198,20
192301,21
209193,24
229970,26
72413,18
206811,23
168720,24
27324,14
204111,25
31638,15
135329,21
246410,27
167668,24
185061,22
151875,16
102259,22
108731,24
251017,32
176376,22
233910,26
65228,19
77413,15
204429,25
88348,16
233664,24
230005,24
190830,19
255836,31
185074,22
137880,20
39691,19
199484,21
252074,26
166969,21
27544,14
119977,21
179851,23
4734,10
161470,20
85717,17
239154,26
141766,22
127327,22
77648,21
59310,16
192784,23
230683,24
11952,14
56254,19
17367,14
152567,22
92987,19
99646,20
53245,16
47685,16
209520,22
193290,20
49924,19
81210,20
220479,24
188583,19
196413,25
187042,26
16529,13
77394,15
250927,29
35622,15
75326,16
63887,18
246024,23
6365,13
131701,25
52287,17
32702,18
167361,21
243865,24
160736,22
125470,19
148260,22
205336,24
210725,26
98279,21
38776,16
163852,24
108360,21
174492,23
259982,32
198346,24
101991,22
121623,22
36296,19
138812,20
69377,17
82729,16
256725,30
19384,14
92738,20
73,3
20501,16
35513,15
200182,20
197467,20
118078,21
173775,20
236719,26
227759,24
141804,20
247051,25
155281,18
102574,20
58352,20
67824,18
27157,14
3182,14
234227,28
75404,16
114791,20
260777,34
136878,20
19016,14
195138,20
156307,24
71276,14
29572,15
160906,17
124387,23
182472,23
6461,13
205300,24
37634,17
135106,18
127426,21
153925,24
200387,20
172761,24
71548,21
256472,27
133711,19
153748,20
196927,21
12611,14
49045,16
80510,20
126594,20
151168,23
250243,31
152624,19
194418,24
254946,28
212978,26
6353,15
154447,19
23702,15
159952,24
258206,28
180338,22
207453,28
112941,21
161187,22
172691,18
42726,15
61491,22
243589,26
207710,26
170918,26
253692,28
152466,22
106568,18
114930,19
81219,17
126257,18
155524,20
114379,20
141219,22
32009,19
40374,13
80053,16
90706,16
72296,18
224793,24
75312,18
125530,23
109362,17
51788,16
147752,25
129207,19
115984,21
180032,24
130560,20
202440,25
3413,11
22195,17
106523,16
207765,24
205309,23
87923,18
55692,16
216570,21
146646,22
130206,20
52718,14
50791,16
257653,30
96495,19
78543,19
222214,21
253139,24
23810,12
237394,29
260677,31
144371,16
132800,25
68398,17
114028,21
114403,20
262103,28
199061,22
206060,19
51687,18
235635,26
19723,17
68717,19
198279,24
253443,27
159475,22
245802,31
251756,31
106754,21
87873,18
162369,22
204408,26
125924,20
148597,21
55706,16
187745,19
10282,15
153606,24
57063,15
257193,30
174932,19
220864,24
205329,21
59289,19
183730,24
159268,24
107954,22
203550,22
233017,25
100593,21
79519,18
93810,20
157556,24
31074,19
211348,24
159183,19
54518,16
92045,19
134807,22
110916,18
129977,18
140456,20
203700,23
220740,23
145678,24
140460,24
35646,16
128179,19
27428,12
103476,22
172621,24
9221,13
103263,20
57748,14
259555,32
1423,11
36221,17
174713,23
53978,21
188276,24
87387,22
162888,23
60281,21
197545,26
26274,14
136293,20
235844,24
8054,16
38381,19
248860,26
177252,20
196545,22
130873,22
99682,16
210668,24
127402,21
91984,22
192166,23
207363,24
33941,17
250325,27
98375,21
179377,25
24538,18
61526,18
173426,25
47836,19
110231,20
21133,10
120259,20
27391,19
42527,18
134526,20
157628,26
36653,14
207670,21
149914,22
42835,21
188562,22
108943,21
246937,28
173582,19
96259,21
63380,14
53285,13
137827,22
66696,15
123227,17
135163,20
63479,20
78586,19
9391,12
97843,13
118111,21
209664,24
79010,19
164859,23
178763,22
185522,23
154970,23
63443,15
115772,17
19710,15
100433,22
252878,30
164521,22
101112,16
127487,17
119106,18
102798,18
99256,17
132199,23
141279,20
154515,23
1012,8
32404,13
184423,22
149138,24
113268,20
40195,14
98545,18
61823,18
129722,20
7632,9
26099,13
143406,18
120826,19
105752,19
179230,24
231572,30
82371,20
68627,20
179511,22
149080,23
217843,26
92069,21
156028,18
142168,18
138764,17
128613,23
196729,22
165996,22
137236,23
50962,16
49081,18
231133,27
75109,18
200526,24
198372,22
97529,17
79974,19
112751,19
215609,23
85553,15
98449,19
34097,20
69033,20
260925,35
34802,16
35408,13
174152,25
19398,15
73740,18
261276,40
44624,13
36555,16
94846,20
96242,21
248808,29
31146,17
192620,25
17403,14
152354,16
215639,23
166604,21
70821,17
5416,14
168014,21
76339,21
61159,21
132324,22
18606,11
52882,18
199914,23
90321,22
56176,15
81284,18
37318,14
143237,18
129139,20
192704,23
69200,19
139096,22
176421,24
240558,31
321,8
220259,29
110025,17
124691,22
142409,19
117310,25
110071,20
158506,18
116806,19
100947,22
197633,23
35147,21
214795,22
151284,24
245117,25
8662,13
240106,24
49585,18
124413,25
52330,20
20424,15
103403,20
213646,19
127656,22
139314,22
144667,24
248473,24
210743,25
150078,22
237799,24
215913,23
257874,29
44635,12
180716,23
151735,25
26538,19
27897,16
61097,19
195934,22
54365,20
220193,22
201167,25
91905,17
191034,25
215541,25
80762,16
99287,20
29761,16
251453,26
237198,26
203499,22
243360,29
173907,23
212953,24
29175,16
43654,18
228818,21
227811,28
170115,25
101949,16
147077,19
77398,18
211468,23
72563,16
204248,23
194025,22
245121,27
53247,17
47219,18
99166,20
116779,18
60130,19
158693,23
257398,32
14431,13
150941,20
34416,20
134520,22
24257,14
145684,20
77239,15
90447,16
18031,20
238028,24
12105,14
56235,17
102921,21
158458,21
132977,24
37856,19
260346,36
145763,15
10828,10
18472,15
226402,20
175326,23
50619,17
244388,26
251978,29
151399,23
185384,24
73175,20
229578,24
162546,18
78166,18
144382,22
73059,17
102086,21
207427,24
260700,36
34786,17
81709,17
217373,22
43434,13
216154,23
178975,25
141836,20
181272,20
259639,33
133571,20
224800,23
143055,21
128181,19
250074,30
78553,20
90753,18
159899,23
165266,20
208622,25
170256,21
8717,14
228610,25
133036,19
86547,18
37329,18
38387,16
205980,27
137742,21
187712,22
193631,22
159059,25
41072,19
86175,18
115072,20
168939,21
159762,24
158393,22
3174,9
67540,18
192946,24
249203,26
113324,18
188684,21
97449,14
222779,25
133314,22
103013,22
78960,16
164552,21
79914,18
87854,21
1613,10
126426,20
57889,17
108121,22
165091,24
10687,16
169586,23
24033,13
47193,15
60563,17
120153,17
65998,21
138805,20
153308,22
85867,18
242375,18
103330,22
35497,16
166663,18
254073,24
18338,14
177220,23
76494,24
93655,20
14276,14
65236,16
140908,22
17189,13
144108,21
155941,21
183149,22
255318,29
207747,25
136767,19
15765,14
127583,24
152775,21
233294,26
256711,27
105699,19
57114,18
191259,28
149013,24
153493,22
215321,24
217756,21
47728,14
236358,28
37246,17
45846,17
112857,18
91940,20
237503,23
254266,25
219239,25
177318,28
7926,14
50991,18
132507,22
131942,22
130286,18
118681,21
3835,16
207198,19
174580,22
117895,23
42255,14
37666,16
29111,17
154620,23
248655,27
103678,23
67927,21
206361,25
77311,19
133698,20
137578,20
27962,15
108553,19
69684,18
148379,25
164005,20
157756,22
211694,23
184844,25
37344,19
84912,17
174702,24
101265,18
143467,22
185352,23
83287,18
191569,17
76540,19
179199,27
18160,14
81425,16
171264,20
258703,33
28620,16
127652,22
96279,21
118202,21
19085,16
178484,19
37103,18
147880,20
56039,15
30271,16
152811,22
15956,11
141782,22
215126,25
28964,13
146634,21
54233,17
207708,26
222722,27
17658,9
92550,17
204033,23
234111,20
54408,14
2339,13
41433,20
198468,26
83927,20
135351,23
180379,25
190159,23
1303,8
24318,19
113783,24
208428,24
146788,21
131738,23
158684,26
53261,18
32872,19
175242,23
124577,18
2791,9
137821,17
54510,18
197179,20
159450,21
3562,13
224595,25
10789,13
233001,25
254747,26
246154,23
20661,14
28000,17
44722,20
159050,27
260377,30
255223,31
119809,22
192442,24
24631,13
11956,14
76016,17
8606,15
148801,21
126345,21
198348,23
101274,18
124958,23
261430,43
153963,16
180666,24
65312,21
32720,17
84755,17
42970,22
260900,33
32950,16
34737,19
257614,31
22245,16
180604,23
90527,19
147405,20
92120,20
193448,21
10860,14
253864,30
174646,23
140644,21
192374,25
189508,22
14631,12
77031,16
174678,22
57741,18
11456,17
243242,24
188292,21
40424,13
200536,24
118250,23
90423,17
52537,20
18319,13
31892,15
121945,20
154701,26
21709,16
36258,19
165997,22
215249,21
141294,22
104532,22
241013,26
169727,15
105814,18
15750,10
1805,11
198916,21
162729,23
15612,12
103522,25
101894,21
224892,26
55178,18
28415,19
13447,15
51396,20
12285,14
71358,21
237126,27
258659,28
238732,25
168170,19
9271,8
182335,25
48527,17
252141,25
122814,20
104973,18
97091,19
154577,24
198658,23
154845,19
116109,23
241485,26
7732,12
79504,16
132162,22
253304,29
2627,9
13817,14
21861,13
50762,17
57615,20
102236,18
59197,15
141200,18
51659,18
184563,24
42975,18
129860,28
94003,23
27575,14
170207,19
75998,23
210318,23
129780,17
136403,22
185910,22
29920,12
76397,23
107191,16
83024,19
122384,22
188191,25
4743,12
17923,14
108090,22
215471,20
244981,25
197825,29
165116,22
155122,22
14326,17
144416,23
45579,17
165866,24
90318,21
88355,20
7646,13
218754,20
243000,30
156203,21
204116,24
244515,26
193302,24
110755,23
17283,16
77920,20
31119,20
67516,16
3587,8
119317,18
243390,25
198590,20
171858,23
59433,14
202297,22
75205,17
37266,18
98835,19
161673,21
165896,22
141696,22
225381,22
137092,22
168508,26
235810,30
163773,24
48713,15
230759,26
214881,21
258920,33
216616,24
101868,18
257852,27
129106,22
181932,23
216936,22
154673,23
23184,14
143971,20
146885,17
214872,22
11687,10
173922,25
63153,20
170804,24
77835,17
227306,20
112694,21
58918,20
9934,14
84855,23
106635,21
228911,23
210945,24
229136,23
4079,10
5957,12
157893,21
13960,13
234174,24
230427,27
206745,25
65741,20
154046,22
253910,31
17904,15
225299,27
247887,28
219929,29
37504,13
226891,26
18530,13
61158,18
180613,22
120566,20
230206,21
162796,24
27210,13
86039,20
86641,21
167063,19
136941,24
190543,22
90131,20
40125,17
209948,24
190171,22
178882,25
5265,15
73964,17
251183,29
61309,21
256213,27
73665,18
229050,26
8162,15
9534,17
226104,23
86373,22
28468,21
144530,21
48947,17
248226,20
38565,21
180929,22
192410,22
2089,12
162231,18
220987,24
39404,16
172350,20
10503,16
44321,16
83705,16
87487,13
14164,19
48944,19
107088,12
137922,19
92850,20
66150,20
83767,18
174532,21
224395,25
12747,12
68698,13
233535,26
20074,12
111799,20
210613,26
8616,16
87314,18
185234,23
224269,26
29400,16
122154,21
255988,30
257255,31
233031,26
59258,18
232606,23
225170,23
84403,20
133255,21
167500,24
181879,21
116403,20
165146,22
133871,20
147093,20
166938,24
248755,29
185429,22
19329,12
76836,21
217325,21
233385,23
197923,24
36606,19
32649,18
169979,18
202009,18
27,3
76654,22
211620,24
75961,18
68195,20
195003,21
225010,27
20551,15
127963,18
197659,22
120236,21
179277,23
162779,23
94929,23
134260,20
84480,13
177270,20
125047,18
186624,22
247656,27
242039,26
38654,20
230550,19
251598,29
52953,22
29426,9
28708,13
106576,22
235405,23
133539,25
251941,30
20451,16
224179,25
183095,22
215163,25
252464,28
194219,25
42570,16
111584,17
227806,24
165389,24
35494,17
210993,24
198403,26
44927,17
164533,19
119033,24
261840,29
60087,17
53391,15
108671,17
102761,22
157131,20
106437,22
222203,22
149401,23
190935,23
231691,26
4895,11
236333,24
124712,17
243064,25
89057,17
204148,27
209682,23
185911,22
219291,24
122136,23
125559,18
4301,11
69803,18
125242,20
206443,26
2087,12
51025,16
183111,17
176076,21
7914,10
143899,21
168892,24
238273,25
142478,22
176530,19
26917,17
62187,21
222744,24
141559,19
50223,18
172498,21
178588,17
227921,28
196827,25
215493,24
9584,17
22597,14
14957,12
121632,22
146510,21
261146,41
144423,21
197884,20
215726,20
94660,21
110869,21
70780,18
97358,24
116468,19
135956,19
42777,18
121059,18
67167,19
112192,13
82478,20
162695,22
140039,17
172876,23
92858,19
59817,20
83692,17
60931,18
237813,27
160586,20
16031,12
71873,14
109664,20
140582,21
46314,18
244646,25
121349,22
201448,22
133172,19
80182,19
184050,23
2518,12
68327,17
209877,23
235545,22
116342,18
21847,12
80695,17
95594,18
125611,20
76526,15
38549,19
50971,23
181485,26
29706,12
75562,19
59913,21
258627,29
100700,20
96443,21
212423,24
184801,25
91878,12
243817,26
107736,17
179984,23
15318,10
23145,18
151627,20
237272,27
27415,17
60942,18
44008,16
251110,27
108567,14
210903,29
9512,10
24774,12
239549,26
236583,24
144877,19
4229,15
115286,17
195200,25
192713,21
103855,19
208925,24
106142,21
261811,23
91160,19
25122,16
31996,21
133573,22
115606,21
62083,17
229631,25
207783,27
45545,22
171344,22
120547,22
181949,20
38820,12
152132,23
18746,15
68776,18
86281,19
150848,21
25342,13
128158,23
103331,21
52218,17
181640,23
80176,20
23430,13
165362,17
46226,20
111380,16
139564,18
166380,21
197235,21
23715,15
9412,13
178724,21
153704,22
214986,24
11211,12
108138,21
237148,28
130268,20
232963,26
37515,14
230923,26
254184,27
135371,17
122527,22
49371,19
187159,28
218023,20
193058,23
39894,18
134953,24
211939,21
224956,26
87736,22
105439,15
174328,22
186499,24
36186,19
53588,18
231662,27
177234,18
129425,18
52879,16
166826,21
92877,20
251142,28
120150,17
55518,19
63910,15
183861,23
144539,21
111097,20
73262,20
115801,21
159597,21
173341,24
23970,18
33198,13
137488,23
122739,16
48658,17
134349,19
23248,14
190572,20
201764,24
28687,13
25587,18
126754,25
137901,24
116860,16
117032,26
636,6
115094,18
106116,20
133398,21
157080,22
231185,25
187461,21
223152,28
120228,23
169981,22
258092,28
141177,19
140855,21
244065,23
163226,24
169547,28
66113,15
4471,13
141413,17
260837,34
116562,19
70442,17
197926,21
43884,17
223840,28
234974,26
28337,16
16477,13
22161,19
157442,19
87273,19
107834,19
185191,23
95658,23
232149,26
189750,22
79356,22
73508,15
44455,17
83044,21
251337,25
61405,17
133322,22
8183,12
57652,22
88093,18
141672,22
206390,22
174260,23
220757,25
202342,22
19023,10
105269,20
171271,21
126106,18
163645,21
162130,22
197528,25
153978,19
133410,23
7020,14
100232,19
128395,20
71997,17
233918,25
237439,24
28790,19
160954,21
43619,19
117655,20
217451,22
70121,21
147893,21
65767,17
135587,22
62108,17
184172,21
35179,17
187036,23
208331,23
163943,20
4537,9
62002,17
258550,32
134600,18
208550,20
229405,22
179791,22
91887,20
236576,26
83175,17
75452,19
211955,27
153318,23
127211,20
155804,18
169541,23
82316,20
191244,21
118001,20
67919,18
102846,16
62969,17
243962,24
217943,26
197116,24
227370,25
93168,20
40331,18
55128,18
187924,19
178640,23
7953,11
176490,20
93711,20
237690,27
182462,22
2509,10
222452,24
177011,18
225109,24
146481,25
19695,14
147160,19
131144,26
168433,23
54098,17
192654,22
231178,28
110551,18
226004,25
134070,20
216812,25
184260,25
184416,22
49613,17
7623,12
81956,18
114329,21
200161,23
175417,19
78080,19
79169,21
234494,26
44449,15
103123,19
245266,25
86724,18
214087,21
22457,13
21387,11
117381,16
176080,22
256886,29
169663,22
121072,21
146402,21
164077,23
166926,21
192973,23
215615,23
139382,21
137771,22
49094,14
12371,16
209171,21
219248,24
130757,20
131754,20
189400,21
3551,12
256864,30
206236,23
101871,18
155679,25
68067,17
107795,20
101007,21
41708,19
16834,14
84667,23
212414,24
240319,26
56358,18
61744,19
89588,20
236328,28
132944,17
203438,18
190539,23
221130,27
9598,12
121141,19
195076,19
245690,23
178545,24
47117,16
249105,27
173548,22
159308,15
147742,22
69083,19
214393,23
232062,25
125174,20
63762,21
80265,17
15048,16
73553,20
103791,16
147878,22
19163,16
47371,16
127422,22
134629,21
55577,20
53012,15
50675,13
69490,16
39828,21
210453,24
213011,25
66655,19
71206,20
59019,19
163135,17
232973,22
236348,25
209860,25
96174,19
91662,18
145174,20
64034,18
82266,19
169292,23
232341,24
222524,26
49381,20
99427,22
72602,20
86124,14
164726,24
122162,20
64037,20
92034,21
261053,41
84180,18
52792,18
241490,21
81778,19
189852,23
241769,25
145084,18
182899,25
37291,20
214871,22
179053,22
247742,27
4874,17
48199,20
78431,21
114007,21
194754,23
229363,23
60661,17
162171,23
13359,14
47478,14
35359,17
61079,19
207412,23
245295,27
8652,15
197885,24
251566,32
101543,18
117161,22
137213,20
92522,19
153191,18
150998,21
192854,25
169934,22
141703,20
11001,13
250990,25
225682,23
88540,19
119314,20
175034,23
145620,23
37310,15
81228,16
72011,15
